source_index,source_lat,source_lon,source_current_pano_id,source_current_image_file,candidate_rank,historical_pano_id,historical_date,historical_lat,historical_lon,distance_to_source_m,heading,pitch,roll,search_status,error
20,50.10257820930232,14.391919546511629,QViZyHVjPGtVUcF-kNMh1A,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0020.jpg,0,Cs7vv0fsGGbbQnB5FjkYVg,2009-05,50.10258825607396,14.39192577237261,1.202,310.10498046875,91.18123626708984,0.09719457477331161,ok,
20,50.10257820930232,14.391919546511629,QViZyHVjPGtVUcF-kNMh1A,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0020.jpg,1,0djDmCQ13Ar_gb3z8v8adQ,2011-08,50.10261648613086,14.39186896292656,5.58,309.6233215332031,89.16001892089844,0.2752887010574341,ok,
20,50.10257820930232,14.391919546511629,QViZyHVjPGtVUcF-kNMh1A,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0020.jpg,2,Vtswe1iWCxU_n6_pN_bDSw,2014-05,50.10261984502525,14.39185694570984,6.432,310.3678588867188,89.63976287841797,0.514197587966919,ok,
21,50.10260776976744,14.391865948837209,QViZyHVjPGtVUcF-kNMh1A,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0021.jpg,0,0djDmCQ13Ar_gb3z8v8adQ,2011-08,50.10261648613086,14.39186896292656,0.993,309.6233215332031,89.16001892089844,0.2752887010574341,ok,
21,50.10260776976744,14.391865948837209,QViZyHVjPGtVUcF-kNMh1A,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0021.jpg,1,Vtswe1iWCxU_n6_pN_bDSw,2014-05,50.10261984502525,14.39185694570984,1.488,310.3678588867188,89.63976287841797,0.514197587966919,ok,
21,50.10260776976744,14.391865948837209,QViZyHVjPGtVUcF-kNMh1A,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0021.jpg,2,Cs7vv0fsGGbbQnB5FjkYVg,2009-05,50.10258825607396,14.39192577237261,4.787,310.10498046875,91.18123626708984,0.09719457477331161,ok,
22,50.10263733023256,14.391812351162791,VENk61QWZZn9gP-FpjTPeA,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0022.jpg,0,JQXx1SdzjMPrqS__2eWCYw,2009-05,50.10264555531717,14.39182009105444,1.068,310.7205200195312,91.47647857666016,359.8648376464844,ok,
22,50.10263733023256,14.391812351162791,VENk61QWZZn9gP-FpjTPeA,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0022.jpg,1,FGFral2AalSt2hI_3o0PbA,2011-08,50.10267827959355,14.39175622201005,6.063,309.5176696777344,89.53413391113281,359.5458984375,ok,
22,50.10263733023256,14.391812351162791,VENk61QWZZn9gP-FpjTPeA,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0022.jpg,2,S1fYXjJxY1-2TkxUVVhAgw,2014-05,50.10268508089257,14.39174040279367,7.384,310.1889038085938,89.6369857788086,359.8167724609375,ok,
23,50.10266689069768,14.391758753488372,VENk61QWZZn9gP-FpjTPeA,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0023.jpg,0,FGFral2AalSt2hI_3o0PbA,2011-08,50.10267827959355,14.39175622201005,1.279,309.5176696777344,89.53413391113281,359.5458984375,ok,
